dt,id,tp,etat
"2022-12-19T23:20:19Z","1",111,"FLU"
"2022-12-19T23:20:19Z","2",124,"FLU"
"2022-12-19T23:20:19Z","3",36,"FLU"
"2022-12-19T23:20:19Z","4",35,"FLU"
"2022-12-19T23:20:19Z","5",39,"FLU"
"2022-12-19T23:20:19Z","6",38,"FLU"
"2022-12-19T23:20:19Z","7",42,"FLU"
"2022-12-19T23:20:19Z","8",38,"FLU"
"2022-12-19T23:20:19Z","9",47,"FLU"
"2022-12-19T23:20:19Z","10",52,"FLU"
"2022-12-19T23:20:19Z","11",53,"FLU"
"2022-12-19T23:20:19Z","12",59,"FLU"
"2022-12-19T23:20:19Z","13",48,"FLU"
"2022-12-19T23:20:19Z","14",49,"FLU"
"2022-12-19T23:20:19Z","15",33,"FLU"
"2022-12-19T23:20:19Z","16",33,"FLU"
"2022-12-19T23:20:19Z","17",70,"FLU"
"2022-12-19T23:20:19Z","18",67,"FLU"
"2022-12-19T23:20:19Z","19",92,"FLU"
"2022-12-19T23:20:19Z","20",96,"FLU"
"2022-12-19T23:20:19Z","21",177,"FLU"
"2022-12-19T23:20:19Z","22",196,"FLU"
"2022-12-19T23:28:12Z","1",109,"FLU"
"2022-12-19T23:28:12Z","2",122,"FLU"
"2022-12-19T23:28:12Z","3",35,"FLU"
"2022-12-19T23:28:12Z","4",34,"FLU"
"2022-12-19T23:28:12Z","5",39,"FLU"
"2022-12-19T23:28:12Z","6",38,"FLU"
"2022-12-19T23:28:12Z","7",42,"FLU"
"2022-12-19T23:28:12Z","8",38,"FLU"
"2022-12-19T23:28:12Z","9",46,"FLU"
"2022-12-19T23:28:12Z","10",50,"FLU"
"2022-12-19T23:28:12Z","11",54,"FLU"
"2022-12-19T23:28:12Z","12",60,"FLU"
"2022-12-19T23:28:12Z","13",48,"FLU"
"2022-12-19T23:28:12Z","14",-1,"INC"
"2022-12-19T23:28:12Z","15",32,"FLU"
"2022-12-19T23:28:12Z","16",-1,"INC"
"2022-12-19T23:28:12Z","17",71,"FLU"
"2022-12-19T23:28:12Z","18",-1,"INC"
"2022-12-19T23:28:12Z","19",92,"FLU"
"2022-12-19T23:28:12Z","20",90,"FLU"
"2022-12-19T23:28:12Z","21",176,"FLU"
"2022-12-19T23:28:12Z","22",191,"FLU"
